"","game_date","home_team","team","batting_team","pitcher_name","mlbam_playerid","hr","bb","hbp","so","ip","year","fip","playoff_game","home_away"
"1","2013-10-01","Texas Rangers","Tampa Bay Rays","Texas Rangers","David Price",456034,0,1,0,4,8.33,2013,2.44775990396158,1,"A"
"2","2013-10-01","Texas Rangers","Texas Rangers","Tampa Bay Rays","Martín Pérez",527048,1,2,0,5,5,2013,4.848,1,"H"
"3","2013-10-02","Pittsburgh Pirates","Cincinnati Reds","Pittsburgh Pirates","Johnny Cueto",456501,2,1,0,0,3.33,2013,11.7567087087087,1,"A"
"4","2013-10-02","Pittsburgh Pirates","Pittsburgh Pirates","Cincinnati Reds","Francisco Liriano",434538,0,1,1,5,7,2013,2.47657142857143,1,"H"
"5","2013-10-03","Cleveland Indians","Cleveland Indians","Tampa Bay Rays","Danny Salazar",517593,1,2,0,4,4,2013,5.798,1,"H"
"6","2013-10-03","Cleveland Indians","Tampa Bay Rays","Cleveland Indians","Alex Cobb",502171,0,1,0,5,6.67,2013,1.99852473763118,1,"A"
"7","2013-10-03","St. Louis Cardinals","Pittsburgh Pirates","St. Louis Cardinals","A.J. Burnett",150359,1,4,1,0,2,2013,17.048,1,"A"
"8","2013-10-03","St. Louis Cardinals","St. Louis Cardinals","Pittsburgh Pirates","Adam Wainwright",425794,1,0,0,9,7,2013,2.33371428571429,1,"H"
"9","2013-10-04","Atlanta Braves","Atlanta Braves","Los Angeles Dodgers","Kris Medlen",450665,1,1,1,4,4,2013,5.798,1,"H"
"10","2013-10-04","Atlanta Braves","Los Angeles Dodgers","Atlanta Braves","Clayton Kershaw",477132,0,3,0,12,7,2013,0.905142857142857,1,"A"
"11","2013-10-04","St. Louis Cardinals","Pittsburgh Pirates","St. Louis Cardinals","Gerrit Cole",543037,1,1,0,5,6,2013,4.048,1,"A"
"12","2013-10-04","St. Louis Cardinals","St. Louis Cardinals","Pittsburgh Pirates","Lance Lynn",458681,1,3,1,6,4.33,2013,6.05030946882217,1,"H"
"13","2013-10-04","Boston Red Sox","Boston Red Sox","Tampa Bay Rays","Jon Lester",452657,2,3,0,7,7.67,2013,5.78594002607562,1,"H"
"14","2013-10-04","Boston Red Sox","Tampa Bay Rays","Boston Red Sox","Matt Moore",519043,0,2,1,4,4.67,2013,3.26213276231263,1,"A"
"15","2013-10-04","Atlanta Braves","Atlanta Braves","Los Angeles Dodgers","Mike Minor",501985,0,1,0,5,6.33,2013,1.94215481832543,1,"H"
"16","2013-10-04","Atlanta Braves","Los Angeles Dodgers","Atlanta Braves","Zack Greinke",425844,0,0,0,3,6,2013,2.048,1,"A"
"17","2013-10-05","Oakland Athletics","Detroit Tigers","Oakland Athletics","Max Scherzer",453286,1,2,0,11,7,2013,2.61942857142857,1,"A"
"18","2013-10-05","Oakland Athletics","Oakland Athletics","Detroit Tigers","Bartolo Colon",112526,0,0,1,4,5.67,2013,2.16616578483245,1,"H"
"19","2013-10-05","Boston Red Sox","Boston Red Sox","Tampa Bay Rays","John Lackey",407793,0,3,1,6,5.33,2013,3.048,1,"H"
"20","2013-10-05","Boston Red Sox","Tampa Bay Rays","Boston Red Sox","David Price",456034,2,2,0,5,7,2013,6.19085714285714,1,"A"
"21","2013-10-06","Oakland Athletics","Detroit Tigers","Oakland Athletics","Justin Verlander",434378,0,1,0,11,7,2013,0.333714285714286,1,"A"
"22","2013-10-06","Oakland Athletics","Oakland Athletics","Detroit Tigers","Sonny Gray",543243,0,2,0,9,8,2013,1.548,1,"H"
"23","2013-10-06","Pittsburgh Pirates","Pittsburgh Pirates","St. Louis Cardinals","Francisco Liriano",434538,0,2,1,5,6,2013,2.88133333333333,1,"H"
"24","2013-10-06","Pittsburgh Pirates","St. Louis Cardinals","Pittsburgh Pirates","Joe Kelly",523260,0,4,0,5,5.33,2013,3.42323452157598,1,"A"
"25","2013-10-07","Los Angeles Dodgers","Atlanta Braves","Los Angeles Dodgers","Julio Teheran",527054,1,1,0,5,2.67,2013,5.29519101123596,1,"A"
"26","2013-10-07","Los Angeles Dodgers","Los Angeles Dodgers","Atlanta Braves","Hyun Jin Ryu",547943,0,1,0,1,3.33,2013,3.3483003003003,1,"H"
"27","2013-10-07","Detroit Tigers","Detroit Tigers","Oakland Athletics","Aníbal Sánchez",434671,3,2,0,6,4.33,2013,10.669247113164,1,"H"
"28","2013-10-07","Detroit Tigers","Oakland Athletics","Detroit Tigers","Jarrod Parker",519105,0,1,0,1,5,2013,3.248,1,"A"
"29","2013-10-07","Pittsburgh Pirates","Pittsburgh Pirates","St. Louis Cardinals","Charlie Morton",450203,1,4,0,4,5,2013,6.448,1,"H"
"30","2013-10-07","Pittsburgh Pirates","St. Louis Cardinals","Pittsburgh Pirates","Michael Wacha",608379,1,2,0,9,6.67,2013,3.19792503748126,1,"A"
"31","2013-10-07","Tampa Bay Rays","Boston Red Sox","Tampa Bay Rays","Clay Buchholz",453329,1,3,0,5,6,2013,5.048,1,"A"
